Date,Close,High,Low,Open,Volume,Ticker
2014-03-24,98.5105972290039,99.52950378089494,98.14611562476304,99.08217941567561,852200,PH
2014-03-25,100.3412857055664,101.1448122623919,99.2726788091709,99.40522213896281,1301300,PH
2014-03-26,98.35320281982422,101.03714249826534,98.27036006479858,100.88803438724001,1039600,PH
2014-03-27,97.75676727294922,98.47745118668496,97.33429325178417,98.22894188954027,893100,PH
2014-03-28,98.77566528320312,99.57090639305612,97.97213863428507,98.14610335457859,649300,PH
2014-03-31,99.16500854492188,100.29988729448654,99.0738865705765,99.76972652739433,1242000,PH
2014-04-01,101.05368041992188,101.26906014976228,99.44663378345692,99.89395167772155,1283700,PH
2014-04-02,102.51165008544922,102.86785243551641,101.07027592657914,101.07027592657914,1126600,PH
2014-04-03,102.10574340820312,102.74359087128545,101.4678896251063,102.569632472263,727900,PH
2014-04-04,100.89631652832031,103.62167117246302,100.7223518046379,103.62167117246302,1099800,PH
2014-04-07,98.82537078857422,100.8300414527479,98.12953087736472,100.5152541729092,1165700,PH
2014-04-08,99.1318588256836,100.14247962144198,98.40288945301207,98.56856229952388,1299700,PH
2014-04-09,101.50102996826172,101.74126004996428,99.60404593276068,99.94368352689646,1059500,PH
2014-04-10,99.25611877441406,102.03118009379607,99.14843205384601,101.10340202117494,957100,PH
2014-04-11,98.69281005859375,99.47148626204842,98.26205690945686,98.65138869117085,1146700,PH
2014-04-14,99.67860412597656,100.27503656640361,98.60999705688059,99.55434631421846,984200,PH
2014-04-15,100.45724487304688,101.36846434663158,98.9744560642419,100.35784370866526,1497000,PH
2014-04-16,102.90095520019531,102.90095520019531,101.45958150458515,101.4927110111398,1262900,PH
2014-04-17,103.8370590209961,104.3755053522927,102.80158773773923,102.90099525613734,1343200,PH
2014-04-21,103.70451354980469,104.14355232700017,102.9755377808631,103.62995633706538,623100,PH
2014-04-22,103.49739837646484,104.45831216842119,103.38142613122896,103.65478566927733,751700,PH
2014-04-23,103.35657501220703,104.50802462827298,103.2157524669376,103.6879270104985,649400,PH
2014-04-24,103.09977722167969,104.14353377398396,102.58618132324125,103.9695754019355,688200,PH
2014-04-25,101.39334106445312,103.43943316476586,100.90459537214466,102.97553777002966,977900,PH
2014-04-28,101.66670227050781,102.94239716692616,100.60637450307262,101.923497093551,1662900,PH
2014-04-29,104.25951385498047,104.78138901033405,102.32110868364114,103.54710923782312,1600300,PH
2014-04-30,105.1044692993164,105.28671324672933,103.73765233374912,105.24529818959947,1104400,PH
2014-05-01,104.45005798339844,105.43582868381297,104.13527698327312,104.7234239235157,768000,PH
2014-05-02,103.61338806152344,104.64885922542574,103.43114412547433,104.37549332135207,952600,PH
2014-05-05,102.94239807128906,103.7790605382506,102.26312924306673,103.06665587450345,1057800,PH
2014-05-06,102.22169494628906,103.26545144879131,102.06430133717791,102.66073362432205,927400,PH
2014-05-07,103.02836608886719,103.07826075721563,101.34019546634939,102.34644479443405,1091400,PH
2014-05-08,103.3111572265625,104.7831076132733,102.57933463659467,102.90366279544104,815400,PH
2014-05-09,103.28614807128906,103.44415629012316,102.31316411726222,103.2113060800681,468000,PH
2014-05-12,105.18223571777344,105.50656372728515,103.9847130089961,103.9847130089961,541300,PH
2014-05-13,104.81636047363281,105.40680413781456,104.73320055587531,105.39848624263031,588600,PH
2014-05-14,103.90155029296875,105.09075507705592,103.74354206633359,104.90779951878208,637000,PH
2014-05-15,101.92230224609375,103.78511655300517,101.11563808515234,103.46910012600998,1191000,PH
2014-05-16,102.31318664550781,102.64583259512821,101.42336237847215,101.99717648295,821900,PH
2014-05-19,102.96185302734375,103.07827816961934,101.72275324472812,101.97223931800119,407200,PH
2014-05-20,100.84125518798828,102.8288070113827,100.6333522244977,102.67911662388167,928900,PH
2014-05-21,101.84748840332031,102.10528600631892,100.97429355910178,101.28199217971174,715000,PH
2014-05-22,101.3568344116211,103.1115356529343,101.30693973859411,102.0886567877177,793600,PH
2014-05-23,102.37140655517578,102.56268005195534,101.09072368130933,101.09072368130933,430400,PH
2014-05-27,103.77684783935547,104.62508916997145,102.61258993199037,102.76228032500438,918600,PH
2014-05-28,103.44417572021484,104.27578739501017,103.32775059331898,103.97640668450836,475300,PH
2014-05-29,103.67700958251953,103.91817769144437,102.58760049107677,103.74354002871105,505700,PH
2014-05-30,104.14271545410156,104.3423004462452,103.04498848027274,103.4607942483093,943200,PH
2014-06-02,104.58349609375,104.79971058188762,103.0366977217497,104.43380572405016,758800,PH
2014-06-03,104.55022430419922,104.80802190179735,103.95146286295757,104.19263101816288,727900,PH
2014-06-04,104.6500244140625,105.36521105971167,104.21758907573005,104.42549202284447,836500,PH
2014-06-05,105.93900299072266,106.06374600175049,104.69990346248389,105.03254937699373,1047200,PH
2014-06-06,106.61260986328125,106.72072343724028,106.03880214524837,106.171856708599,686300,PH
2014-06-09,107.61883544921875,108.47539418506014,106.37141833612354,106.55437386119482,686500,PH
2014-06-10,107.7103271484375,107.80180492280948,106.60428230898886,107.20304361589918,477400,PH
