,Ticker,Datapoints
361,PNC,2767
362,PNR,2767
363,PNW,2767
364,POM,2044
365,PPG,2767
366,PPL,2767
367,PRGO,2767
368,PRU,2767
369,PSA,2767
370,PSX,2767
371,PVH,2767
372,PWR,2767
373,PXD,0
374,QCOM,2767
375,QEP,0
376,R,2767
377,RAI,0
378,RDC,0
379,REGN,2767
380,RF,2767
381,RHI,2767
382,RHT,0
383,RIG,2767
384,RL,2767
385,ROK,2767
386,ROP,2767
387,ROST,2767
388,RRC,2767
389,RSG,2767
390,RTN,0
391,RTX,2767
392,RVTY,2767
393,SBUX,2767
394,SCG,0
395,SCHW,2767
396,SE,1809
397,SEE,2767
398,SHW,2767
399,SIAL,0
400,SJM,2767
401,SLB,2767
402,SLM,2767
403,SNA,2767
404,SNDK,0
405,SNI,0
406,SO,2767
407,SPG,2767
408,SPGI,2767
409,SPLS,0
410,SRCL,2728
411,STI,670
412,STJ,0
413,STT,2767
414,STX,2767
415,STZ,2767
416,SWK,2767
417,SWN,0
418,SWY,0
419,SYK,2767
420,SYY,2767
421,T,2767
422,TAP,2767
423,TDC,2767
424,TE,0
425,TEG,1551
426,TEL,2767
427,TFC,2767
428,TGNA,2767
429,TGT,2767
430,THC,2767
431,TIF,0
432,TJX,2767
433,TMO,2767
434,TPR,2767
435,TRIP,2767
436,TRV,2767
437,TSN,2767
438,TSS,0
439,TT,2767
440,TWC,0
441,TWX,0
442,TXN,2767
443,TXT,2767
444,TYC,0
445,UAA,2767
446,UNH,2767
447,UNM,2767
448,UNP,2767
449,UPS,2767
450,URBN,2767
451,USB,2767
452,V,2767
453,VAR,0
454,VFC,2767
455,VIAB,0
456,VLO,2767
457,VMC,2767
458,VNO,2767
459,VRSN,2767
460,VRTX,2767
461,VTR,2767
462,VTRS,2767
463,VZ,2767
464,WAT,2767
465,WBA,2767
466,WDC,2767
467,WEC,2767
468,WELL,2767
469,WFC,2767
470,WFM,0
471,WHR,2767
472,WIN,0
473,WM,2767
474,WMB,2767
475,WMT,2767
476,WPX,0
477,WU,2767
478,WY,2767
479,WYN,0
480,WYNN,2767
481,X,2767
482,XEL,2767
483,XL,0
484,XLNX,0
485,XOM,2767
486,XRAY,2767
487,XRX,2767
488,XYL,2767
489,YHOO,0
490,YUM,2767
491,ZBH,2767
492,ZION,2767
493,ZTS,2767
